Bus No,Start  Place,Start Time,Reach Time,Waiting Time(in min or sec),Bus Speed,Travelling Time,Notifying Time
1A,Vuyyuru Bus stand,5:45,5:45,0,40,85 mins,5:40
1A,Vuyyuru Masid,5:45,5:49,1,35,83 mins,5:42
1A,Katuru Rd Centre,5:49,5:56,0,30,81 mins,5:44
1A,Gandigunta,5:56,6:05,0:45,40,74 mins,5:54
1A,China Ogirala,6:05,6:11,0:25,50,65 mins,6:05
1A,Akunuru ,6:11,6:15,0,45,59 mins,6:06
1A,Peda Ogirala,6:15,6:20,0,45,55 mins,6:00
1A,Neppalli Masid,6:20,6:25,1,40,50 mins,6:15
1A,Prodduturu X road,6:25,6:28,0:30,35,45 mins,6:20
1A,Kankipadu Petrol Bunk,6:28,6:30,0:52,30,42 mins,6:23
1A,Kankipadu Bus Stand ,6:30,6:32,1,30,40 mins,6:25
1A,Gosala,6:32,6:35,0:32,40,38 mins,6:27
1A,Edupugallu,6:35,6:37,0:15,35,35 mins,6:30
1A,Gangur,6:37,6:40,0,45,33 mins,6:32
1A,Penamaluru,6:40,6:42,1:25,30,30 mins,6:35
1A,Seethapuram colony,6:42,6:45,0:30,35,28 mins,6:37
1A,Krishnaveni convent,6:45,6:47,0:20,40,20 mins,6:40
1B,Tumulu,6:22,6:25,0:28,30,38 mins,6:17
1B,Tadigadapa,6:25,6:27,0:49,30,35 mins,6:20
1B,VRSE,6:27,6:30,1:20,45,33 mins,6:22
1B,Kamaiah Thopu,6:30,6:32,0:48,45,30 mins,6:25
1B,Pappula Mill,6:32,6:35,1:18,40,28 mins,6:27
1B,Time Hospital,6:35,6:37,1:20,40,25 mins,6:30
1B,Chowdary Pet,6:37,6:40,1:14,35,23 mins,6:32
1B,Old Check Post,6:40,6:42,0:29,35,20 mins,6:35
1C,Autonagar Gate,6:30,6:33,0:57,35,30 mins,6:25
1C,High School Road ,6:33,6:35,0:29,40,27 mins,6:28
1C,Postal Colony,6:35,6:37,0:30,40,25 mins,6:30
1C,Patamata ,6:37,6:38,0:58,30,23 mins,6:32
1C,NTR Circle,6:38,6:40,1:10,45,22 mins,6:33
1C,Eenadu,6:40,6:42,1:18,45,20 mins,6:35
2AB,E.S.I,6:25,6:27,0:28,30,35 mins,6:20
2AB,Gunadala,6:27,6:29,0:54,35,33 mins,6:22
2AB,Padavala Revu,6:29,6:31,0:10,40,31 mins,6:24
2AB,Machavaram Down,6:31,6:32,1:05,45,29 mins,6:26
2AB,SRR. College,6:32,6:34,1:10,35,28 mins,6:27
2AB,Maruthi Nagar,6:34,6:36,0:48,30,26 mins,6:29
2AB,Nimma thota,6:36,6:38,0:05,40,24 mins,6:31
2AB,Chuttugunta,6:38,6:40,0:36,35,22 mins,6:33
2AB,Sitarampuram,6:40,6:41,1:08,35,20 mins,6:35
2AB,Kothavantena ,6:41,6:42,1:15,35,19 mins,6:36
2AB,VijayaTalkies,6:42,6:44,0:45,40,18 mins,6:37
2AB,Rama Mandiram ,6:44,6:46,0:12,45,16 mins,6:39
2AB,Manipal Hospital,6:46,6:47,0:29,30,14 mins,6:41
2AB,Tadepalli X Roads ,6:47,6:48,0,30,13 mins,6:42
2AB,Highway Towers,6:48,6:50,0:48,30,11 mins,6:43
2AB,Aravinda School,6:50,6:57,0:52,30,9 mins,6:45
2AB,Kunchanapalli,6:57,6:58,0:42,30,6 mins,6:52
3AB,ITI Bus Stop,6:25,6:27,0:28,30,46 mins,6:20
3AB,Bank Centre,6:27,6:28,0:32,35,44 mins,6:22
3AB,Sunnapubattilu,6:28,6:30,0:15,35,43 mins,6:23
3AB,Siddhartha Arts College,6:30,6:32,0:47,30,41 mins,6:25
3AB,Jemmichettu,6:32,6:35,0:58,40,39 mins,6:27
3AB,Madhu Gardens,6:35,6:37,1:05,40,36 mins,6:30
3AB,Moghalrajpuram,6:37,6:42,1:15,30,34 mins,6:32
3AB,Sikamani Centre,6:42,6:46,0:28,35,29 mins,6:37
3AB,Red Circle ,6:46,6:51,0:10,40,25 mins,6:41
3AB,CP Bangla,6:51,6:53,0:35,35,20 mins,6:46
4AB,Peda Avutupalli,6:00,6:05,0:26,30,75 mins,5:55
4AB,Vidya nagar,6:05,6:10,0:42,30,70 mins,6:00
4AB,Gannavaram Venkateswara Talkies,6:10,6:15,0:10,30,65 mins,6:05
4AB,Gandhi bomma CentreDown hostel,6:15,6:20,1,35,60 mins,6:10
4AB,Kesarapalli,6:20,6:25,1:07,35,55 mins,6:15
4AB,Gudavalli,6:25,6:30,1:15,40,50 mins,6:20
